FAQID,Question,Answer,Chat Scripts,Email Scripts,Voice Scripts,Gurucool Link,PCIR,Freshdesk Properties
MF_62,Can I invest in Mutual Funds using a non-Jupiter bank account?,"No, it is not possible to invest in mutual funds on Jupiter using any other bank account. You can however add money to your Jupiter bank account from any other bank account to invest on Jupiter via UPI/NEFT.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_63,Why is my invested amount slightly less than my payment amount?,The small difference is due to the stamp duty which is a tax levied (0.005%) on the purchase of an asset or security as per the government's order.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_64,I'm unable to recreate my signature accurately on the phone. What are the implications?,Please sign as close as possible with your sign matching on PAN card copy. The mismatch could lead to KYC rejection.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_65,Which investment transactions have applicability of Stamp Duty?,All purchase transactions like SIP and One-Time Investments will be charged Stamp Duty. However is no stamp duty charged on redemptions.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_66,Can I change my registered phone number for Mutual Fund KYC?,"To change your KYC details, you will have to physically submit a duly filled KYC form, along with a self-attested copy of your PAN card and a recent address proof, at any of the AMCs or Registered Transfer Agents (RTA) office.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_67,Why is my physical signature required for completing mutual fund KYC digitally?,"As per SEBl's regulations, it's mandatory for users who are yet to complete KYC verification for mutual funds to sign the KYC application, hence your signature is required.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_68,Does the mutual fund KYC registered have an expiry date?,"No, the KYC once registered has a lifetime validity across the country.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_69,What is Stamp duty?,Stamp duty is a form of tax collected by the government on purchase of mutual fund units. It is collected at a rate of 0.005% of the investment amount.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_70,Who is required to be mutual fund KYC compliant?,"Currently, all investors who wish to make an investment, irrespective of any amount will required to be KYC Compliant.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_71,Why Mutual Fund KYC is required to start investing in Mutual Funds?,"SEBI mandates that you complete your KYC before you can invest in mutual funds. Once your KYC is registered, you need not do it again.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_72,Why is the activation of investment accounts required?,This is a regulatory requirement for facilitating your Mutual Fund Investments.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_73,What is nominee registration for mutual funds?,Nominee registration facilitates the easy transfer of funds to the nominee in the event of the demise of an investor. It is advised to provide a nominee during account activation.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_74,Does the investor have to repeat the KYC process with every Mutual Fund?,"KYC is one time exercise while dealing in securities markets - once KYC is done through a SEBI registered intermediary (Mutual Fund, broker, DP etc), Investors need not undergo the same process again with any other Mutual Fund or intermediary.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_75,Can I invest in Direct Mutual Funds through Jupiter?,"You can invest in direct mutual funds from your savings account only if your mutual Fund KYC is already done and your Jupiter Money KYC status is fully verified.

Click here: app.jupiter.money/onboarding-mf/welcome-screen",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_76,How do I check the lock-in period for a mutual fund?,Lock-in period details are available on the fund page of the particular fund.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_77,Mutual fund KYC is applicable for which type of transactions?,"Effective January 01, 2011 KYC compliance was made mandatory for all categories of investors irrespective of the amount invested for the following transactions:

1. New / Additional Purchases
2. SIP purchases
3. Redemptions",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_78,How much time does it take to complete my mutual fund KYC?,"The KYC process is a one time process and it would take maximum of 10 minutes of you to complete your KYC process. Once you submit all the KYC docs, this is verified by the KRA and it would take upto 3 working days.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_79,What is KYC for mutual fund account activation?,"KYC is an acronym for 'Know your Client”, a term commonly used for Client Identification Process. SEBI has prescribed certain requirements relating to KYC norms for investing in the Mutual Funds in the form of verification of identity and address, financial status, occupation and other personal information.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_80,How can I transfer my current mutual funds to Jupiter?,We are working to make this feature available soon. However you can track and get insights on your external funds on Jupiter.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_81,Is there a lock-in period in High Growth funds?,"No, there is no lock-in period in these equity funds.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_82,What will happen with my investment if Jupiter shuts down?,"Jupiter is here with a long term vision and is not likely to shut down. In the unlikely case this happens, your investments are perfectly safe with mutual fund company.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_83,Why is a signed contract required for completing my mutual fund KYC?,"As per SEBl's new regulations, it's mandatory for users who are yet to complete KYC verification for mutual funds to digitally sign the KYC application. You will be asked to enter the OTP sent to the mobile number you've linked to your Aadhaar card to digitally sign the document.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_84,Is there any mutual fund related physical document sent to my KYC address?,"No, neither Jupiter Money nor mutual fund companies send any physical documents to your KYC address. All information is sent through email/SMS.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_85,What is Foreign Account Tax Compliance Act (FATCA)?,"Foreign Account Tax Compliance Act is a USA law. As per the agreement between the USA and India, all financial institutions need to report financial transactions of US persons to relevant tax authorities in the USA.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_86,I am not an Indian Tax Resident. Can I still invest in Mutual Funds via Jupiter?,"No, you cannot invest in mutual funds via Jupiter if you are not an Indian Tax Resident.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_87,What is sector mix?,Sector mix is a measure of how diversified your portfolio is across different sectors or industries. A more diverse portfolio generally has lower risk.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_88,"My XIRR calculation for my non Jupiter portfolio is wrong, what do I do?","Sorry, that shouldn't be the case! Please write to us on investments@jupiter.money / mail to:investments@jupiter.money or raise it with a customer care agent.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_89,What does a Politically Exposed Person mean?,"A Politically Exposed Person is defined as an individual who is or has been entrusted with prominent public functions e.g. politicians, executives of public companies, etc.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_90,How do I evaluate Index funds?,"You can evaluate index funds basis expense ratio. Lower the expense ratio, better it is.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_91,Can I sign on the screen using my finger during new mutual fund KYC process?,"Yes, you can sign using your fingers, please aim to match the signature closely to the one on the PAN card.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_92,"Can I pause, cancel or skip a SIP once I have set it up?","Yes, at Jupiter you have the full flexibility of cancelling or skipping your SIPs. You can do it from the SIP detail page on your Dashboard",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_93,How do I earn extra when I invest via Jupiter?,"Since you invest in commission free direct funds, the expense ratios of these funds are lower than Regular funds. The entire savings go to you and compound over time giving you the extra returns",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_94,What is DigiLocker?,"DigiLocker is an Indian digitization online service provided by Ministry of Electronics and Information Technology, Government of India under its Digital India initiative.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_95,Will mismatch in name on PAN and aadhar create an issue in completing mutual fund KYC?,"In a rare case where Aadhaar name is completely different from name in PAN, then you should change the name in either Aadhaar or in PAN database and retry the KYC process.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_96,What is the minimum SIP investment amount in SIP at Rs 500' funds?,The minimum SIP Investment amount in these funds is Rs 500.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_97,What is the exit load in Index funds?,There is generally no exit load on Index funds. You can check the exit load of a fund on the Fund Page,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_98,How many SIP at Rs 500' funds should I invest in?,Equity funds invest in 30-60 stocks. One can invest in 1-2 different funds for adequate portfolio diversification.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_99,What is the minimum SIP investment amount in Better than FD funds?,Minimum SIP Investment amount differs from fund to fund. You can check the minimum SIP investment amount of the specific fund on the fund's page.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_100,What is Better than FD collection?,This collection consists of Ultra Short term and Low duration funds which have no exit load. Investors can invest in these funds for the short term for higher returns than FD and their savings account. Money can be redeemed from these funds either fully or partially anytime without any exit loads.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_101,When does the Mutual Fund dashboard get updated for One-Time Investment orders?,For One-Time Investment your orders will be updated in 1-2 working days of order placement on the investment Dashboard.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_102,What is NAV?,Net Asset value is the price of each unit of the mutual fund scheme. This is calculated as per the market value of the securities held in that scheme. This is released by the mutual fund companies every working day.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_103,When will I receive the money after redemption of Equity Funds?,It takes 3-4 working days for the money to be credited to your account in case of Equity fund redemptions.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_104,I am not an Indian citizen. Can I still invest via Jupiter?,"Only citizens of the following countries can not invest via Jupiter: USA, Canada, Albania, Barbados, Burkina Faso, Cambodia, Cayman Islands, Jamaica, Jordan, Haiti, Malta, Mali, Morocco, Myanmar (Burma), Nicaragua, Pakistan, Panama, Philippines, Senegal, South Sudan, Syria, Turkey, Uganda, Yemen, Zimbabwe.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_105,Can I complete PAN verification for mutual fund KYC using image from my phone gallery?,"No, you will have to click the image of the PAN and upload it.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_106,What is the tenure of my SIP?,"SIPs on Jupiter are set up for 10 years. But, you can cancel your SIP at any time.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_107,How often does the live price change for Digital Gold?,"For jewels to digital gold conversion, live price changes every 30 seconds. For buy and sell transactions, live prices change every 5 minutes.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_108,What are the available modes to do auto SIPs in Mutual Funds?,You can pay for your SIP automatically by setting up Auto-Pay on the Jupiter Money app by providing your MPIN. This Auto-Pay will be made using a Standing Instruction or SI.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_109,When will I receive the money after redemption of International Funds?,It takes 5-10 working days for the money to be credited to your account in case of International funds redemptions.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_110,How is capital gain calculated?,"The difference between your sell value and your purchase value is capital gain or loss. For example, if you sell your investments at a higher price than what you bought them, you would have made capital gains on your investment.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_111,What happens if I made the Investment on a weekend or on a bank holiday?,"You can invest on the Jupiter Money mutual Platform 24/7 and 365 days of the year.

Exchange declared holidays, Saturdays and Sundays are non-working days. Any investment done on a market holiday is processed the next working day.

You can find the list of holidays here.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_112,Is there a penalty for missing the SIP voluntarily or due to inadequate funds?,"Missing a SIP either because of insufficient funds or because you chose to skip the SIP, is not a problem at all on Jupiter. There are no penalties for missing a SIP on Jupiter.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_113,What is the minimum amount of investment for SIPs?,This is the minimum amount that a mutual fund company decides for its funds. They will not accept an investment that does not meet the minimum limit. The minimum amount of information is made available on the Fund page.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_114,When will my investment be available for redemption?,"For all the mutual fund schemes (except the ones with a lock-in period), redemption can be made at any time. Funds like Tax saver funds (ELSS) have a lock-in period and can be redeemed only after the lock-in period.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_115,Who is Signzy?,Signzy Technologies is the AMC's approved technology application provider to fetch your DigiLocker data and documents for processing your KYC.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_116,What to do if I can't see my SIP order even after my money was debited?,"If your SIP date falls on a holiday, your SIP order will be sent on the next working day. However, money for the SIP would be deducted on the chosen date of the SIP. (even if it is a holiday)",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_117,What are the charges for completing my mutual fund KYC?,The mutual fund KYC is free of cost at Jupiter.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_118,What happens to my investments if I close my bank account?,"In case you want to close your Bank account, you should first change the bank account in your investments and then close your Jupiter Money Bank account. Investments in Mutual Funds would not be impacted and will continue. You can shift these investments to a new intermediary.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_119,What are the available modes of payment to do One -Time investments in Mutual Funds?,You only need to provide your MPIN to do a One-Time Investment in any direct mutual fund. This payment will be done through NEFT mode.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_120,What are ELSS funds?,"ELSS stands for Equity linked savings scheme. It is a tax saving investment under Section 80C of the Income Tax Act, 1961. By investing in ELSS, one can claim a tax rebate of up to Rs 1,50,000 a year and save up to Rs 46,800 a year in taxes. These have a lock-in period of 3 years.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_121,Can I Invest in mutual Funds using a Debit Card or UPI?,You can simply invest in any mutual fund of your choice by providing your MPIN on the Jupiter Money app. No need to remember your UPI ID / UPI PIN / Debit card details.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_122,Would missing an SIP due to inadequate funds affect my credit score,No Worries! There is no impact on your credit score if you miss any SIP instalment.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_123,When does my Mutual Fund dashboard get updated for redemption orders?,Your investment Dashboard will get updated within 2-3 working days of order placement.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_124,How to redeem ELSS before 3 years?,All ELSS mutual funds come with a mandatory lock-in period of 3 years. You cannot withdraw your ELSS investment within 3 years from the date of investment.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_125,Is the STCG/LTCG tax deducted when I redeem my money?,There is no tax deduction done at the time of the redemption.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_126,How many ELSS funds should I invest in?,"Every ELSS fund invests in almost 30-60 securities. By investing in even 1 ELSS fund, an investor can get diversification in his investments.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_127,When will I receive the money after the redemption of Debt Funds?,It takes 1-2 working days for the money to be credited to your account in case of Debt fund redemptions.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_128,What is the applicable STCG/LTCG tax for Equity Investments?,STCG (Holding period < 1 year): The realised gains are taxed at 15% LTCG (Holding period >= 1 year): The realised gains are taxed at 10%,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_129,What is 'redeem all' option?,"If you're trying to redeem your entire investments in a fund, it is recommended to check the redeem all box instead of entering a redemption amount",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_130,What is a One-Time or Lump sum Investment?,One-Time Investment a lump-sum investment that can be made by an investor at any time as per their convenience.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_131,Why is the amount credited different from my redemption order amount?,Exit load is a fee charged by the AMC for redeeming a fund before the specified period. Mutual fund companies specify the exit loads of the mutual fund scheme.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_132,Why should I invest in SIP for a long duration?,Historical research shows that chances of getting better returns increase on longer invested periods. Long term investing also enforces discipline for savings.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_133,What is No Penalty SIP and why should i set up my SIP on Jupiter?,"Jupiter has a smart SIP feature where in case you don't have sufficient balance, we would simply skip that month's SIP. On other platforms, on not having sufficient balance on the day of the SIP, you would have to pay a penalty of Rs 500 - Rs 1000.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_134,Do I earn rewards by investing in Jupiter?,"As per regulatory norms, no rewards or gifts can be given by any intermediary to customers for their Mutual Fund investments.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_135,Under which section does ELSS provide tax exemption?,"ELSS mutual funds provide tax deductions under the provisions of Section 80C of the Income Tax Act, 1961.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_136,What will be the applicable NAV for my redemption transaction?,"For orders placed on a working day before the cut off time of 2:30 PM, the redemption would be done on the same working day's NAV value. For orders placed on a working day after the cut off time of 2:30 PM or on a non-working day, the redemption would be done on the next working day's NAV value.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_137,Would my SIP get cancelled if I have missed a few SIPs due to inadequate funds?,No Worries! Your SIP will not be cancelled. Your monthly SIP will start again automatically on the same date for the next month if you have sufficient money in your account.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_138,What is the ideal mode of investment in a High Growth collection of funds?,You can either do One-Time or SIP investments in these equity funds. SIP Investments in these funds are recommended for disciplined investing and to take advantage of compounding.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_139,Which AMCs are available on Jupiter Money?,It is our endeavour to provide our customers with all available mutual fund schemes. You will be able to explore and invest in all open ended mutual funds available.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_140,What is the difference between ELSS and a mutual fund?,"ELSS funds are also mutual funds. However, investments in ELSS mutual funds allow investors to claim tax deductions of up to Rs 1,50,000 a year under Section 80C of the Income Tax Act, 1961.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_141,What is the minimum amount of investment for SIP and One-Time investments?,This is the minimum amount that a mutual fund company decides for its funds. They will not accept an investment that does not meet the minimum limit. The minimum amount of information is made available on the fund's page.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_142,Should I have money in my bank account to set up a SIP?,"You can set up a SIP without having the required balance in your Bank account. However, for the SIP to go successfully on the SIP date, you would need to have sufficient balance at 8:30 AM on the day of the SIP. But don't worry, in case you don't have sufficient balance we would smartly skip that month's SIP.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_143,Would I get better returns if I set up my SIP for a specific date?,There is no evidence that SIP returns on a specific day would be more.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_144,Is my SEBI KYC data safe? Is it shared with anyone?,"Yes, your KYC data is absolutely secure with Jupiter Money. When you choose to invest in any mutual fund, your KYC details are shared only with respective Mutual Fund companies and RTAs.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_145,Is there any limit on the amount of Digital Gold that can be bought?,You can buy gold worth Rs 1 lakh in a single day,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_146,What is XIRR?,XIRR (Extended Internal Rate of Return) is the best indicator of Mutual Fund Returns when you have a SIP running or have made multiple One-Time Investments and withdrawals in your investments. XIRR is the best way to know the annualised returns on your investments.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_147,What are Direct Mutual Funds Plans?,All mutual fund schemes have both regular and direct plans. Jupiter offers only direct plans which are free from any hidden commissions on your investments. This implies that investors get a better return (up to 1.5% p.a.) via direct mutual funds on Jupiter,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_148,What are Mutual Fund Ratings?,A mutual fund rating is usually a measure of a fund's historical risk-adjusted performance over different time frames compared with the funds in the same category. We show Morningstar ratings on the Jupiter Money platform.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_149,My order for mutual fund investment failed but amount got debited. What to do?,"In case your order has failed, you will get the refund done to your bank account within 5-10 working days.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_150,What is the exit load in High Growth funds?,Exit load differs from fund to fund. You can check the exit load of the specific fund on the fund's page.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_151,How many High Growth funds should I invest in?,"Since equity funds typically invest in 30-60 stocks, one can invest in 1-2 different funds for adequate portfolio diversification.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_152,What is the High Growth collection of funds?,The High Growth collection of funds consists of top performing equity funds from all the AMCs. These funds are suitable for long term wealth creation.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_153,How do I pause my SIPs?,"Follow these steps to skip your SIP:
- Go to Mutual Fund Dashboard.
- Click on active SIPs section 
- Select the mutual fund and click on the Pause SIP button.

Pause SIP: https://app.jupiter.money/mutual-funds/my-sips",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_154,What is the best day to start a SIP?,It is a good practice to set up SIPs at the start of the month. It ensures that you save money in your bank account and invest it systematically every month.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_155,Can I restart my investment account if I had closed my investment account?,"Yes, you can restart your investments account anytime. Simply select the direct mutual funds of your choice and start investing again and we will activate your investment account",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_156,What is the ideal investment horizon for High Growth funds?,An investment horizon of at least 3-5 years (long term) is recommended for equity funds. Investors can stay invested even longer to enjoy the benefit of compounding,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_157,Which bank account is used for Investments?,Investments can be made only from your Federal Bank Account linked with Jupiter,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_158,What are the Growth plans of Mutual Funds?,"In growth plans, the payout is made only at the time of redemption of units. So money stays invested and compounds until redeemed. It is recommended to invest in growth plans. We only list growth plans of mutual funds on our platform.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
